base_line: 0285
acore: XCU_A_XAP-release-APP7.1.66-BSP1.10.10-rc30.20240821-425
vin: HLX33B122P1151016
mdc_version: v2.0.0
project_info: project_code:deviation-detect,strategy_code:deviation-info,version:20240830155442
timestamp,EPS_StrgAng,EPS_StrgAngValid,EPS_StrgAngSpeed,EPS_StrgWhlToq,EPS_StrgWhlToqValid,ACULongdAcc,ACULatAcc,ACUYawRate,ACULongdSnsrState,ACULatSnsrState,ACUYawRateSnsrSta,FLWhlSpd,FRWhlSpd,RLWhlSpd,RRWhlSpd,FLWhlSpdValid,FRWhlSpdValid,RLWhlSpdValid,RRWhlSpdValid,VehSpd,VehSpdValid,FLTirePrsVal,FRTirePrsVal,RLTirePrsVal,RRTirePrsVal,INS_Status,INS_Car_Status,INS_Std_Lon,INS_Std_LocatHeight,INS_Std_Heading,INS_GpsFlag_Pos,INS_ConStatus,INS_NumSV,INS_Odom_X_Pos,INS_Odom_Y_Pos,INS_Odom_Z_Pos,INS_DeviationAngle,INS_FusionSignal,INS_Odom_Spd,GNSS_AntSts,INS_PitchAngle,INS_RollAngle,INS_HeadingAngle,INS_LocatHeight,INS_Latitude,INS_Longitude,INS_NorthSpd,INS_EastSpd,INS_ToGroundSpd,INS_Std_Lat
2024-08-30 16:57:33.343 -4.30000019,0,1,0.0199999996,0,-0.00700000022,0.0241999999,0.0700000003,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-171.449997,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4810104,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00494610006,0.00200000009,
2024-08-30 16:57:33.354 -4.30000019,0,0,0.0199999996,0,-0.00600000005,0.0250000004,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-130.800003,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:33.365 -4.30000019,0,0,0.0199999996,0,-0.00600000005,0.0250000004,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-130.800003,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4810104,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.376 -4.30000019,0,0,0.0199999996,0,-0.00600000005,0.0250000004,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-96.9000015,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:33.386 -4.30000019,0,0,0.0199999996,0,-0.00639999984,0.0243999995,0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,169.199997,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.397 -4.30000019,0,0,-0.180000007,0,-0.00520000001,0.0233999994,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,159.600006,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.415 -4.30000019,0,0,-0.180000007,0,-0.00520000001,0.0233999994,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-146.25,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:33.431 -4.30000019,0,0,-0.180000007,0,-0.00639999984,0.0231999997,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,94.5,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4810104,41.5359993,40.1687925,116.583567,0.00420900015,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:33.443 -4.30000019,0,-1,-0.280000001,0,-0.00639999984,0.0243999995,0.0500000007,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,94.5,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4810104,41.5359993,40.1687925,116.583567,0.00420900015,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:33.455 -4.30000019,0,-1,-0.280000001,0,-0.00639999984,0.0243999995,0.0500000007,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-102.449997,3,0.00115729996,0,-0.087654002,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
